Identificacion;Nombres;Apellidos;FechaNacimiento;Direccion;Telefono;IdEstadoCivil;IdentificacionConyuge;NombreConyuge;SujetoCredito
1024949857;Danya;Woodley;1996-12-11;Muir;212244109;1;;;false
1554413892;Francisca;Pursey;1996-02-07;Kinsman;330977806;3;;;false
1060857949;Lamar;Elsom;1992-10-31;Oxford;145148025;3;;;false
1632281882;Brook;Swaffer;1995-10-15;Goodland;687303334;4;;;false
1318671585;Deedee;Calafato;2000-01-22;Thackeray;857263060;1;;;false
1473925099;Abraham;Gligori;1993-05-05;Blaine;618226587;1;;;true
1088447278;Melania;Widger;1992-09-14;Dottie;735621615;1;;;true
1136834593;Doll;Gittis;1993-05-08;Center;418402009;3;;;true
1460428031;Alasteir;Gatfield;1997-02-04;Hayes;537233704;3;;;true
1207547015;Minetta;Moran;1998-11-25;Arkansas;279836986;3;;;true
1056028824;Justen;Turbefield;1992-05-12;Di Loreto;676121050;4;;;true
1704754508;Lucilia;Fassum;1992-10-30;Birchwood;798716503;4;;;true
1180716888;Celinka;Standell;1991-11-20;Nelson;616256110;4;;;true
1129787145;Fawn;Rydzynski;1992-01-16;Mockingbird;538301180;1;;;true
1026332435;Drugi;Vereker;2000-06-27;Clarendon;290995311;3;;;true
1689035684;Lanny;Clemanceau;1997-08-26;Ridgeview;518418970;3;;;true
1126393898;Goober;Falk;1992-06-15;Green Ridge;862604921;4;;;true
1006006919;Ronnie;Morffew;2000-06-29;2nd;366814110;1;;;true
1931114789;Kathie;Folling;1997-08-23;Walton;445536695;3;;;true
1865973216;Winn;Austwick;1999-12-03;Hallows;294677152;3;;;true
