Identificacion;Nombres;Apellidos;FechaNacimiento;Direccion;Telefono;Celular;IdPatioVehicular
1377373679;Deane;Laboune;1996-10-10;Brentwood;328096957;226345516;1
1816238924;Abe;Yankeev;1997-09-15;Anderson;106633440;130385767;2
1787176141;Marcelle;Shoppee;1992-09-14;Fallview;122672233;407839883;3
1110531591;Daryl;Marrill;1997-08-31;Shoshone;282130322;797455018;4
1377809537;Dorita;ONoulane;1995-05-03;Cottonwood;185465749;519576878;1
1621511551;Orsola;Bosquet;1992-05-15;3rd;469921461;653280703;2
1365067782;Virgie;Macura;1994-01-24;Boyd;245521749;414601359;3
1293710273;Ilaire;Lusher;1997-01-18;Carioca;331235647;548536244;4
1108254260;Rog;Size;1999-03-11;Mallory;131369942;368715741;1
1417749417;Dom;Primo;1995-09-27;Thompson;269698464;393086980;2
1294468547;Ginnifer;McPhaden;1992-11-26;Scott;652201901;336071769;3
1483382394;Karel;Stoves;1998-10-12;Green Ridge;615302113;484184189;4
1012830959;Jard;Willan;1999-11-30;Meadow Valley;526071544;417722984;1
1558661310;Antony;Attridge;1996-11-29;High Crossing;821257804;495956168;2
1122926726;Reece;Le Estut;1993-02-21;John Wall;191276235;604587289;3
1425623487;Darlleen;Dwyr;1998-07-31;Debra;779801336;125210882;4
1464068424;Lavena;Bernardet;1992-03-23;Crowley;797717283;350268270;1
1468919767;Clarisse;Berardt;1993-11-02;Eagle Crest;604012515;584814216;2
1822494440;Adriane;Esslemont;1994-01-10;Sheridan;690899401;453570855;3
1145998507;Timmy;Lawful;1992-09-28;Mariners Cove;844563566;384658370;4
